Department,Subject,Course,Instructor,A,B,C,D,F,IP,IX,NP,P,RD,W,Total
,,,LAN H,5,6,4,3,9,,,,,,17,44
,,,MAZOROW M M,6,9,6,2,2,,,,1,,8,34
,,,MIANO I A,10,14,7,2,2,,,,,,9,44
,,,SIMHAN S V,2,4,12,2,10,,,,,,16,46
,,,TRAN C D,7,8,14,10,16,,,,,,17,72
,,,TU W,5,2,5,3,9,,,,,,19,43
,,MATH   32 Total,,78,80,82,28,59,,,2,7,,120,456
,,MATH   50,ASADYAN A,8,3,13,2,,,,,,,8,34
,,,BENE A J,3,8,9,2,4,,,,,,8,34
,,,BOOSHERI S G,2,1,4,2,6,,1,,1,,8,25
,,,CHAN H J,2,2,5,4,5,,,,1,,10,29
,,,DABAGH SA M,3,7,5,5,9,,,1,2,,3,35
,,,DEAN C R,7,9,12,,6,,,1,1,,2,38
,,,EDINGER G C,3,9,10,2,2,,,,,,9,35
,,,HANCOCK M D,4,8,9,4,5,,,,,,7,37
,,,LOPEZ J E,5,7,4,1,2,,1,,,,3,23
,,,LOPEZ MA,4,1,4,6,8,,,,,,5,28
,,,MCGRAW C K,3,6,7,4,2,,,1,,,7,30
,,,OUELLETTE K R,8,1,3,4,5,,,,2,,10,33
,,,PHUNG Q T,4,8,11,5,15,,,1,,,17,61
,,,RAHMANI S,10,2,9,3,3,,,1,2,,5,35
,,,SIMO A L,4,10,7,2,3,,,1,,,5,32
,,,SOLEYMANI S,12,5,10,3,2,,,,,,5,37
,,,VENDLINSKI T P,6,10,4,2,6,,,,1,,6,35
,,,XU M N,5,3,8,2,2,,,,1,,10,31
,,MATH   50 Total,,93,100,134,53,85,,2,6,11,,128,612
,,MATH   54,BASKAUSKAS V A,5,13,12,,2,,,,,,9,41
,,,BAYSSA B T,5,8,5,5,4,,1,,,,8,36
,,,CARLSON K D,6,7,10,5,5,,,,,,6,39
,,,DABAGH SA M,3,4,12,5,12,,1,,,,11,48
,,,EDINGER G C,11,8,8,2,3,,,,,,2,34
,,,FOSTER M,8,9,10,8,16,,,,,,23,74
,,,GHARAMANIANS J,3,6,10,1,1,,,2,,,16,39
,,,HANCOCK M D,12,18,15,3,9,,1,,,,23,81
,,,HE F Y,6,6,4,5,1,,,1,,,15,38
,,,JAHANGARD E,1,4,4,,2,,,,,,20,31
,,,MARDIROSIAN R,24,21,14,11,4,,,,,,12,86
,,,MARTINEZ M G,28,11,,1,2,,,,,,16,58
,,,MCGRAW C K,4,6,8,4,3,,,,,,3,28
,,,NGUYEN D T,2,3,3,5,13,,,,,,16,42
,,,ORTEGA J A,6,7,5,4,7,,,,,,36,65
,,,PACHAS‐FLORES W,10,10,15,7,18,,,,,,26,86
,,,PEREZ R E,40,24,11,2,3,,,,,,8,88
,,,PETIKYAN G,6,14,6,,,,,,,,5,31
,,,RAHMANI S,8,8,9,3,8,,,,,,5,41
,,,SASO M,15,7,11,11,5,,2,,,,24,75
,,,SIMO A L,6,12,7,4,5,,,,,,8,42
,,,SOLEYMANI S,18,7,1,3,,,,,,,,29
,,,TRAN C D,6,4,15,1,3,,,1,,,7,37
,,,TU W,4,2,6,5,8,,,,,,14,39
,,,VENDLINSKI T P,10,4,8,5,4,,,,,,9,40
,,,XIE M C,8,8,6,2,2,,,,,,14,40
,,,YANKEY K A,9,22,24,19,4,,4,,,,26,108
,,,YEE D K,4,6,18,3,7,,,,1,,25,64
,,MATH   54 Total,,271,260,263,126,157,,9,4,1,,410,1501
,,MATH   54C,EDINGER G C,,,,,,,,5,27,,2,34
,,,HANCOCK M D,,,,,,,1,8,17,,9,35
,,,MCGRAW C K,,,,,,,,7,18,,3,28
,,MATH   54C Total,,,,,,,,1,20,62,,14,97
,,MATH   81,BRONIE B L,1,1,1,4,1,,,,,,10,18
,,,CHITGAR M H,5,6,8,,,,,,,,4,23
,,,CHO M,2,,2,4,8,,,,,,12,28
,,MATH   84,MAN S,,2,2,5,14,,,,,,9,32
,,,OWAKA E A,3,11,9,1,4,,,,,,6,34
,,,RAHNAVARD M H,1,3,3,1,2,,,,,,7,17
,,,TSVIKYAN A,5,,7,1,8,,,,,,6,27
,,MATH   84 Total,,9,16,21,8,28,,,,,,28,110
,,MATH   85,ESMAEILI AK,14,14,3,6,7,,1,,,,16,61
,,,GIZAW A,5,4,7,7,1,,,,,,15,39
,,,LEE P H,1,,2,,3,,,,,,7,13
,,,LIAO G,1,3,3,,1,,,,,,3,11
,,,MIANO I A,4,4,3,4,15,,,,,,6,36
,,,PHUA N,1,1,7,2,11,,,1,,,6,29
,,,ROSS K R,,3,9,2,4,,,,,,8,26
,,MATH   85 Total,,26,29,34,21,42,,1,1,,,61,215
,,MATH   88A,MOASSESSI M,3,,,,1,,,,,,,4
,,MATH   88A Total,,3,,,,1,,,,,,,4
,MATH Total,,,1107,1098,1239,663,1023,,18,90,239,,2067,7544
Mathematics Total,,,,1107,1098,1239,663,1023,,18,90,239,,2067,7544
Modern Lang/Cul,ARABIC,ARABIC  1,BEZRATI S,24,2,1,,1,,,,,,7,35
,,ARABIC  1 Total,,24,2,1,,1,,,,,,7,35
,ARABIC Total,,,24,2,1,,1,,,,,,7,35
,ASL,ASL      1,COLE B M,14,10,3,3,,,,,,,6,36
,,,DANA M,15,10,5,,1,,,,,,1,32
,,ASL      1 Total,,29,20,8,3,1,,,,,,7,68
,,ASL      2,LEWIS B J,17,5,4,,2,,,,,,4,32
,,ASL      2 Total,,17,5,4,,2,,,,,,4,32
,ASL Total,,,46,25,12,3,3,,,,,,11,100
,CHNESE,CHNESE  1,WU X,23,9,6,,3,,,,,,22,63
,,CHNESE  1 Total,,23,9,6,,3,,,,,,22,63
,,CHNESE  2,WU X,10,3,2,,,,1,,,,4,20
,,CHNESE  2 Total,,10,3,2,,,,1,,,,4,20
,CHNESE Total,,,33,12,8,,3,,1,,,,26,83
,FRENCH,FRENCH  1,CASE S A,12,3,4,3,2,,,,,,9,33
,,,ISNER‐BALL D R,8,9,4,,2,,,,1,,7,31
,,FRENCH  1 Total,,33,22,12,4,7,,,,2,,22,102
,,FRENCH  2,ALLAIN A S,9,6,,,1,,,,,,3,19
,,,CHEVANT‐AKSOY A,22,13,5,1,2,,1,,2,,16,62
,,FRENCH  2 Total,,31,19,5,1,3,,1,,2,,19,81
,,FRENCH  4,CHEVANT‐AKSOY A,7,8,3,,1,,,,2,,7,28
,,FRENCH  4 Total,,7,8,3,,1,,,,2,,7,28
,FRENCH Total,,,71,49,20,5,11,,1,,6,,48,211
,GERMAN,GERMAN  1,GARDNER A,25,3,,,,,,,,,5,33
,,,GERL A,8,5,1,,3,,1,,,,6,24
,,,LASHGARI RENSEL M,11,3,2,1,1,,,1,1,,4,24
,,GERMAN  1 Total,,44,11,3,1,4,,1,1,1,,15,81
,,GERMAN  2,TANAKA D J,8,6,3,1,1,,,,,,3,22
,,GERMAN  2 Total,,8,6,3,1,1,,,,,,3,22
,,GERMAN  3,GERL A,4,2,3,1,1,,,,1,,1,13
,,GERMAN  3 Total,,4,2,3,1,1,,,,1,,1,13
,,GERMAN  4,GERL A,3,,,,,,,,,,,3
,,GERMAN  4 Total,,3,,,,,,,,,,,3
,GERMAN Total,,59,19,9,3,6,,1,1,2,,19,119,
,HEBREW,HEBREW  1,MARGOLIS F S,18,2,1,,3,,,,1,,2,27
,,HEBREW  1 Total,,18,2,1,,3,,,,1,,2,27
,,HEBREW  2,ZWANG‐WEISSMAN,4,4,,2,,,2,,,,3,15
,,HEBREW  2 Total,,4,4,,2,,,2,,,,3,15
,HEBREW Total,,,22,6,1,2,3,,2,,1,,5,42
,ITAL,ITAL    1,KEMITCH F A,6,6,,,1,,,,,,9,22
,,,LORENZI P,7,3,4,,4,,,,,,8,26
,,,ROTA B L,5,4,3,,6,,,1,3,,2,24
,,ITAL    1 Total,,18,13,7,,11,,,1,3,,19,72
,,ITAL    2,WEISBERG A N,7,3,2,1,,,,,,,3,16
,,ITAL    2 Total,,7,3,2,1,,,,,,,3,16
,,ITAL    3,TROMBETTA G N,13,2,,1,,,,,1,,2,19
,,ITAL    3 Total,,13,2,,1,,,,,1,,2,19
,ITAL Total,,,38,18,9,2,11,,,1,4,,24,107
,JAPAN,JAPAN   1,COMRIE A K,16,6,1,1,2,,,,,,8,34
,,,KITAZONO Y,17,7,3,1,2,,,,,,5,35
,,,KONNO M K,10,1,3,1,2,,,1,1,,12,31
,,,KROUPA R A,18,1,3,,2,,,1,,,5,30
,,,SHIMURA M,14,6,5,1,1,,,,1,,5,33
,,JAPAN   1 Total,,91,29,20,5,12,,,2,2,,41,202
,,JAPAN   2,JOHNSTON S K,12,10,2,,,,,,1,,1,26
,,,KATO N K,9,6,1,1,2,,,,,,7,26
,,,TSUBOI Y,29,14,5,2,2,,,,3,,10,65
,,JAPAN   2 Total,,50,30,8,3,4,,,,4,,18,117
,,JAPAN   3,TAKEMORI K,13,3,4,,1,,,,1,,3,25
,,JAPAN   3 Total,,13,3,4,,1,,,,1,,3,25
,,JAPAN   4,TSUBOI Y,20,5,1,2,,,,,,,7,35
,,JAPAN   4 Total,,20,5,1,2,,,,,,,7,35
,,JAPAN   8,MINEKAWA Y,3,4,3,,2,,,,,,2,14
,,JAPAN   8 Total,,3,4,3,,2,,,,,,2,14
,,JAPAN   9,MINEKAWA Y,70,12,3,,7,,,,,,2,94
,,JAPAN   9 Total,,70,12,3,,7,,,,,,2,94
,JAPAN Total,,,247,83,39,10,26,,,2,7,,73,487
,KOREAN,KOREAN  1,CHA J,24,5,2,,1,,,,,,4,36
,,,LEE J M,22,5,1,,4,,,,,,3,35
,,,PARK JI,9,7,2,2,,,,,2,,7,29
,,KOREAN  1 Total,,55,17,5,2,5,,,,2,,14,100
,,KOREAN  2,CHA J,19,8,7,,1,,,,,,1,36
,,KOREAN  2 Total,,19,8,7,,1,,,,,,1,36
,,KOREAN  4,CHA J,21,5,4,2,,,,,,,3,35
,,KOREAN  4 Total,,21,5,4,2,,,,,,,3,35
,KOREAN Total,,,95,30,16,4,6,,,,2,,18,171
,LING,LING    1,AL RIFAE K,11,9,2,3,8,,,1,,,5,39
,,,GAINES S G,42,13,5,2,11,,,,1,,5,79
,,,HARCLERODE J E,42,21,2,7,9,,,,2,,2,85
,,,MELENDEZ‐BALLES N,24,9,2,,6,,,,,,2,43
,,LING    1 Total,,119,52,11,12,34,,,1,3,,14,246
,LING Total,,,119,52,11,12,34,,,1,3,,14,246
,,PERSIN  2 Total,,17,2,1,,,,,,,,1,21
,PERSIN Total,,,17,2,1,,,,,,,,1,21
,RUSS,RUSS    2,BAUCKUS S J,13,2,,,1,,3,,,,3,22
,,RUSS    2 Total,,13,2,,,1,,3,,,,3,22
,RUSS Total,,,13,2,,,1,,3,,,,3,22
,SPAN,SPAN    1,BOLIVAR‐OWEN E,5,6,1,1,,,,,3,,7,23
,,,ERICKSON M P,23,17,9,7,3,,,,,,22,81
,,,MIZUKI A H,12,6,3,,2,,,,2,,11,36
,,,QUINONES H C,8,3,4,,,,,,,,9,24
,,SPAN    1 Total,,48,32,17,8,5,,,,5,,49,164
,,SPAN    2,AREVALO L H,5,6,3,,8,,,,,,7,29
,,,TRIVES T,5,11,13,4,3,,1,,1,,11,49
,,,ZARATE S,7,7,,,2,,,,,,5,21
,,SPAN    2 Total,,17,24,16,4,13,,1,,1,,23,99
,,SPAN    3,LEE CHAN A,6,9,4,3,1,,1,1,1,,5,31
,,SPAN    3 Total,,6,9,4,3,1,,1,1,1,,5,31
,,SPAN    8,AREVALO L H,14,2,,,,,,1,,,1,18
,,SPAN    8 Total,,14,2,,,,,,1,,,1,18
,,SPAN   11,AREVALO L H,4,3,5,3,3,,1,1,1,,5,26
,,,LEE CHAN A,7,15,8,2,3,,,,,,17,52
,,SPAN   11 Total,,11,18,13,5,6,,1,1,1,,22,78
,,SPAN   20,AREVALO L H,6,3,7,,3,,1,,,,6,26
,,SPAN   20 Total,,6,3,7,,3,,1,,,,6,26
,,SPAN   31A,CANDELARIA C,5,4,3,,,,,1,,,8,21
,,SPAN   31A Total,,5,4,3,,,,,1,,,8,21
,SPAN Total,,,107,92,60,20,28,,4,4,8,,114,437
Modern Lang/Cul Total,,,,891,392,187,61,133,,12,9,33,,363,2081
Music,MUSIC,MUSIC   1,CHEESMAN J M,14,1,2,1,,,,,,,5,23
,,,DRISCOLL B S,22,6,10,6,13,,,,1,,20,78
,,,HOLT D K,9,8,3,,3,,,,,,9,32
,,,SELVEY J D,9,4,1,1,2,,,,,,10,27
,,,TAKESUE S A,5,3,2,1,6,,,,,,10,27
,,MUSIC   1 Total,,59,22,18,9,24,,,,1,,54,187
,,,SELVEY J D,5,3,1,2,2,,1,1,,,6,21
,,MUSIC   2 Total,,12,11,4,3,5,,1,1,1,,12,50
,,MUSIC   3,GOODMAN D B,8,8,6,,,,,,,,1,23
,,MUSIC   3 Total,,8,8,6,,,,,,,,1,23
,,MUSIC   4,GOODMAN D B,10,6,1,1,1,,,,,,,19
,,MUSIC   4 Total,,10,6,1,1,1,,,,,,,19
,,MUSIC   6,CHEESMAN J M,5,3,2,,4,,,,1,,6,21
,,,DRISCOLL B S,11,3,2,1,5,,,,1,,6,29
,,MUSIC   6 Total,,16,6,4,1,9,,,,2,,12,50
,,MUSIC   7,GOODMAN D B,8,9,3,2,,,,,,,1,23
,,MUSIC   7 Total,,8,9,3,2,,,,,,,1,23
,,MUSIC   8,GOODMAN D B,8,7,3,2,,,,,,,,20
,,MUSIC   8 Total,,8,7,3,2,,,,,,,,20
,,MUSIC  31,BERGMAN J F,9,3,2,1,3,,3,,,,1,22
,,MUSIC  31 Total,,9,3,2,1,3,,3,,,,1,22
,,MUSIC  32,BERGMAN J F,31,17,14,5,10,,1,,,,21,99
,,,DRISCOLL B S,14,8,7,,4,,,,,,2,35
,,,GOODMAN D B,4,6,4,2,5,,,1,,,3,25
,,,ZUSMAN S P,18,13,1,2,3,,,,,,5,42
,,MUSIC  32 Total,,67,44,26,9,22,,1,1,,,31,201
,,MUSIC  33,FIDDMONT F K,97,34,10,2,3,,,,,,8,154
,,,ONEAL K A,122,6,,,2,,,,,,3,133
,,,TERRY L,32,18,10,9,15,,,,2,,8,94
,,MUSIC  33 Total,,251,58,20,11,20,,,,2,,19,381
,,MUSIC  36,CHEESMAN J M,26,3,,,1,,,,1,,4,35
,,,PARNELL D J,15,4,,,3,,,,,,1,23
,,MUSIC  36 Total,,41,7,,,4,,,,1,,5,58
,,MUSIC  37,ALVISO J R,7,3,10,,4,,,,,,6,30
,,MUSIC  37 Total,,7,3,10,,4,,,,,,6,30
,,MUSIC  42,DE STEFANO J D,18,,,,,,,,,,1,19
,,MUSIC  42 Total,,18,,,,,,,,,,1,19
,,MUSIC  45,MARTIN A F,5,,,,,,,,,,2,7
,,MUSIC  45 Total,,5,,,,,,,,,,2,7
,,,OLIVER G A,4,7,,,2,,,,,,5,18
,,,PARNELL D J,12,,,,5,,,,1,,5,23
,,,SELVEY J D,5,2,2,1,6,,,,,,5,21
,,MUSIC  50A Total,,40,12,2,1,13,,1,,1,,21,91
,,MUSIC  50B,DE STEFANO J D,6,1,1,,,,,,,,1,9
,,,OLIVER G A,,,,,,,,,,6,2,8
,,,PARNELL D J,6,,,,,,,,,,3,9
,,,SELVEY J D,4,3,1,,,,,,,,2,10
,,MUSIC  50B Total,,16,4,2,,,,,,,6,8,36
,,MUSIC  52,HARROP A M,1,,,,,,,,,,,1
,,MUSIC  52 Total,,1,,,,,,,,,,,1
,,MUSIC  53,PREPONIS A,25,,,,1,,,,,,2,28
,,MUSIC  53 Total,,25,,,,1,,,,,,2,28
,,MUSIC  55,SELVEY J D,17,,,,,,,,,,3,20
,,MUSIC  55 Total,,17,,,,,,,,,,3,20
,,MUSIC  57,PARNELL D J,18,1,,,,,,,,,4,23
,,MUSIC  57 Total,,18,1,,,,,,,,,4,23
,,MUSIC  59,SELVEY J D,20,,,,,,,,,,4,24
,,,SORENSEN K E,12,3,,,,,,,,,,15
,,MUSIC  59 Total,,32,3,,,,,,,,,4,39
,,MUSIC  60A,GLIADKOVSKAYA E,9,2,1,,,,,,,,6,18
,,,KIM J,5,2,2,1,3,,,,,,3,16
,,,KOZLOVA YU V,7,1,1,1,1,,,,,,7,18
,,,SCHREINER G,16,1,,,,,,,,,4,21
,,,STERLING J,20,2,,3,,,,,,,29,54
,,MUSIC  60A Total,,57,8,4,5,4,,,,,,49,127
,,MUSIC  60B,GLIADKOVSKAYA E,8,,,,1,,,,1,,3,13
,,,KIM J,9,3,2,,2,,,,,,2,18
,,,KOZLOVA YU V,11,2,3,1,4,,,,1,,3,25
,,MUSIC  60B Total,,28,5,5,1,7,,,,2,,8,56
,,MUSIC  60C,GLIADKOVSKAYA E,11,1,,,,,,,,,,12
,,,KIM J,6,7,1,,,,,,,,,14
,,MUSIC  60C Total,,17,8,1,,,,,,,,,26
,,,KIM J,10,1,,,,,,,,,,11
,,MUSIC  60D Total,,16,3,,,,,,,,,,19
,,MUSIC  64,KOZLOVA YU V,11,5,,,,,,,1,,1,18
,,MUSIC  64 Total,,11,5,,,,,,,1,,1,18
,,MUSIC  65B,AGUIAR J A,11,,,,,,,,1,,4,16
,,MUSIC  65B Total,,11,,,,,,,,1,,4,16
,,MUSIC  66,TAKESUE S A,2,,,2,5,,,,1,,3,13
,,MUSIC  66 Total,,2,,,2,5,,,,1,,3,13
,,MUSIC  70A,SANDERSON A,4,2,3,,,,,,,,2,11
,,MUSIC  70A Total,,4,2,3,,,,,,,,2,11
,,MUSIC  70B,SANDERSON A,5,,,,,,,,,,,5
,,MUSIC  70B Total,,5,,,,,,,,,,,5
,,MUSIC  73A,SMITH ME M,5,1,,,,,,1,,,2,9
,,MUSIC  73A Total,,5,1,,,,,,1,,,2,9
,,MUSIC  73B,SMITH ME M,8,1,,,,,,,,,2,11
,,MUSIC  73B Total,,8,1,,,,,,,,,2,11
,,MUSIC  74,STONE B D,18,,1,,,,,,,,1,20
,,MUSIC  74 Total,,18,,1,,,,,,,,1,20
,,MUSIC  77,MC KEOWN K O,,,,,,,,,,15,1,16
,,MUSIC  77 Total,,,,,,,,,,,15,1,16
,,MUSIC  78,FIDDMONT F K,11,,,,,,,,,,4,15
,,,WHALEY T L,30,,,,,,,,,,,30
,,MUSIC  78 Total,,41,,,,,,,,,,4,45
,,MUSIC  84A,CHEESMAN J M,13,3,3,,,,,1,,,3,23
,,,HARMON J M,29,6,,,,,,,4,,13,52
,,,SCHULMAN J,5,4,,2,,,,,,,2,13
,,MUSIC  84A Total,,47,13,3,2,,,,1,4,,18,88
,,MUSIC  84B,CHEESMAN J M,15,,2,,1,,,,,,4,22
,,MUSIC  84B Total,,15,,2,,1,,,,,,4,22
,,MUSIC  84C,HARMON J M,11,2,,,,,,,,,6,19
,,MUSIC  84C Total,,11,2,,,,,,,,,6,19
,,MUSIC  87A,CHEESMAN J M,11,3,,,,,1,,,,4,19
,,MUSIC  87A Total,,11,3,,,,,1,,,,4,19
,,MUSIC  87B Total,,4,3,,,,,,,,,,7
,,MUSIC  88A,KOZLOVA YU V,2,,1,,,,,,,,1,4
,,MUSIC  88A Total,,2,,1,,,,,,,,1,4
,,MUSIC  88B,KOZLOVA YU V,6,1,,,,,,,,,,7
,,MUSIC  88B Total,,6,1,,,,,,,,,,7
,,MUSIC  92,DRISCOLL B S,33,2,,,,,,,,,,35
,,MUSIC  92 Total,,33,2,,,,,,,,,,35
,,MUSIC  94,DRISCOLL B S,26,9,,,,,,,,,,35
,,MUSIC  94 Total,,26,9,,,,,,,,,,35
,MUSIC Total,,,1046,270,121,50,123,,7,4,17,21,297,1956
Music Total,,,,1046,270,121,50,123,,7,4,17,21,297,1956
Philosophy/Soci,ECON,ECON    1,BROWN B C,31,21,4,3,12,,,1,2,,9,83
,,,CARTER T D,17,20,10,,10,,,,,,7,64
,,,CHAN A K‐C,13,24,24,31,34,,,,,,25,151
,,,GARCIA C P,52,29,25,13,53,,1,,,,16,189
,,,GURTOVOY J,32,19,8,2,24,,,,1,,30,116
,,,KESKINEL M,64,16,1,,4,,1,,,,1,87
,,,MARSCHALL B A,21,7,5,,,,,,,,5,38
,,,SU B C,29,8,8,1,8,,,1,1,,16,72
,,,URRUTIA A Q,60,31,33,10,22,,,3,2,,21,182
,,ECON    1 Total,,319,175,118,60,167,,2,5,6,,130,982
,,ECON    2,BATTISTA C,50,56,31,10,36,,,,1,,51,235
,,,BROWN B C,19,7,5,,4,,,,,,5,40
,,,CARTER T D,12,8,8,,2,,,,,,6,36
,,,CHAN A K‐C,17,29,29,11,25,,,1,,,36,148
,,,GARCIA C P,65,13,13,4,27,,2,,,,12,136
,,,KESKINEL M,19,12,6,,2,,,,,,7,46
,,,MARSCHALL B A,46,10,6,1,6,,,1,,,6,76
,,,SU B C,30,9,2,,,,,,1,,4,46
,,ECON    2 Total,,258,144,100,26,102,,2,2,2,,127,763
,,ECON    5,RABACH E R,17,17,8,8,4,,,,,,6,60
,,ECON    5 Total,,17,17,8,8,4,,,,,,6,60
,,ECON   15,RABACH E R,28,15,13,2,9,,,,1,,36,104
,ECON Total,,,622,351,239,96,282,,4,7,9,,299,1909
,GLOBAL,GLOBAL  5,RABACH E R,12,7,6,9,3,,,,,,11,48
,,GLOBAL  5 Total,,12,7,6,9,3,,,,,,11,48
,,GLOBAL 10,MONTEIRO N,22,11,2,,4,,,1,1,,4,45
,,GLOBAL 10 Total,,22,11,2,,4,,,1,1,,4,45
,GLOBAL Total,,,34,18,8,9,7,,,1,1,,15,93
,HIST,HIST   15,RABACH E R,7,4,6,6,4,,,1,,,8,36
,,HIST   15 Total,,7,4,6,6,4,,,1,,,8,36
,HIST Total,,,7,4,6,6,4,,,1,,,8,36
,PHILOS,PHILOS  1,BENNET S E,34,2,2,,1,,,,,,2,41
,,,DAILY M S,31,6,1,,5,,,,,,5,48
,,,HUFFAKER P,49,24,20,2,9,,,,1,,21,126
,,,JOHNSON T,76,5,4,2,13,,2,,1,,5,108
,,,KAUFMAN S M,14,7,4,1,6,,,,,,6,38
,,,MOHSEN A M,83,23,8,3,13,,,,,,11,141
,,,ORTEGA G R,44,18,2,2,4,,,,2,,10,82
,,PHILOS  1 Total,,331,85,41,10,51,,2,,4,,60,584
,,PHILOS  2,KLUMPE P A,72,26,6,3,5,,1,,3,,13,129
,,PHILOS  2 Total,,72,26,6,3,5,,1,,3,,13,129
,,PHILOS  3,MOHSEN A M,55,11,4,,8,,,,,,11,89
,,PHILOS  3 Total,,55,11,4,,8,,,,,,11,89
,,PHILOS  5,KAUFMAN S M,19,3,2,,3,,,,1,,2,30
,,PHILOS  5 Total,,19,3,2,,3,,,,1,,2,30
,,PHILOS  7,DAILY M S,14,7,4,1,3,,1,,,,3,33
,,,MORRIS S,13,13,6,,2,,,,,,7,41
,,,ORTEGA G R,12,9,4,,1,,,,,,2,28
,,PHILOS  7 Total,,39,29,14,1,6,,1,,,,12,102
,,PHILOS  9,KLUMPE P A,55,17,4,,7,,2,,1,,7,93
,,PHILOS  9 Total,,55,17,4,,7,,2,,1,,7,93
,,PHILOS 22,QUESADA D M,92,22,6,6,19,,,1,5,,9,160
,,PHILOS 22 Total,,92,22,6,6,19,,,1,5,,9,160
,,PHILOS 23,BENNET S E,73,7,3,,1,,,,,,4,88
,,PHILOS 23 Total,,73,7,3,,1,,,,,,4,88
,,PHILOS 24 Total,,20,3,2,2,2,,,,,,5,34
,,PHILOS 51,KURVINK S J,7,4,1,,,,1,,,,3,16
,,,OIFER E R,3,4,3,,,,,,,,4,14
,,PHILOS 51 Total,,10,8,4,,,,1,,,,7,30
,,PHILOS 52,KURVINK S J,2,3,1,,2,,,,,,4,12
,,PHILOS 52 Total,,2,3,1,,2,,,,,,4,12
,,PHILOS 88A,SCHULTZ C K,1,,,,,,,,,,,1
,,PHILOS 88A Total,,1,,,,,,,,,,,1
,,PHILOS 88B,SCHULTZ C K,1,,,,,,,,,,1,2
,,PHILOS 88B Total,,1,,,,,,,,,,1,2
,PHILOS Total,,,770,214,87,22,104,,7,1,14,,135,1354
,POL SC,POL SC  1,ANTOINE E R,10,12,9,2,3,,,,,,8,44
,,,BUCKLEY A D,19,35,28,4,8,,,,3,,25,122
,,,GORGIE F J,53,18,13,8,5,,,1,,,14,112
,,,GROPER R P,16,32,27,9,17,,,,1,,7,109
,,,KURVINK S J,11,13,17,1,1,,1,,,,3,47
,,,SCHULTZ C K,42,5,2,,3,,,,1,,7,60
,,,TAHVILDARANJESS R A,336,84,29,12,25,,1,2,,,32,521
,,,WOODS V,29,36,32,2,11,,7,,1,,21,139
,,POL SC  1 Total,,516,235,157,38,73,,9,3,6,,117,1154
,,POL SC  2,BERMAN DIANNE R,2,11,7,1,8,,,,,,4,33
,,,BUCKLEY A D,10,19,9,2,1,,,,2,,20,63
,,,GABLER C L,55,25,6,4,6,,,,,,7,103
,,POL SC  2 Total,,67,55,22,7,15,,,,2,,31,199
,,POL SC  5,RABACH E R,9,5,4,3,6,,,,,,12,39
,,POL SC  5 Total,,9,5,4,3,6,,,,,,12,39
,,POL SC  7,BERMAN DIANNE R,2,18,15,2,10,,,,1,,20,68
,,,BUCKLEY A D,40,14,7,,2,,,,,,9,72
,,,MONTEIRO N,11,5,5,,8,,,,,,15,44
,,POL SC  7 Total,,53,37,27,2,20,,,,1,,44,184
,,POL SC 21,RIVAS PINEDA Y G,6,16,6,1,6,,1,,,,5,41
,,POL SC 21 Total,,6,16,6,1,6,,1,,,,5,41
,,POL SC 24,GABLER C L,23,4,3,1,6,,,,,,5,42
,,POL SC 31,DAVIS SH L,19,9,3,,3,,,,,,3,37
,,,GABLER C L,24,12,7,1,12,,,,,,6,62
,,POL SC 31 Total,,43,21,10,1,15,,,,,,9,99
,,POL SC 51,KURVINK S J,14,9,3,1,2,,,,,,3,32
,,,OIFER E R,20,14,5,2,3,,,,,,4,48
,,POL SC 51 Total,,34,23,8,3,5,,,,,,7,80
,,POL SC 52,KURVINK S J,11,7,5,,,,,,,,2,25
,,POL SC 52 Total,,11,7,5,,,,,,,,2,25
,,POL SC 94,GABLER C L,,,,,,,,1,23,,1,25
,,POL SC 94 Total,,,,,,,,,1,23,,1,25
,,POL SC 95,TAHVILDARANJESS R A,15,,,,,,,,,,3,18
,,POL SC 95 Total,,15,,,,,,,,,,3,18
,POL SC Total,,,777,403,242,56,146,,10,4,32,,236,1906
,SOCIOL,SOCIOL  1,CALDERON‐ZAKS M A,89,32,8,1,1,,,,,,15,146
,,,D DEL PICCOLO G L,4,15,5,4,11,,,,,,10,49
,,,DISHMAN W H,26,27,19,4,4,,,,,,32,112
,,,GHEYTANCHI E,87,16,7,1,5,,,,2,,10,128
,,,LIVINGS G S,5,13,21,9,11,,,,,,23,82
,,,PHILLIPS K M,48,31,14,13,12,,,,1,,15,134
,,,ROMO R,95,36,10,4,9,,,,,,4,158
,,,SCAIFE M L,18,12,5,9,12,,,1,,,14,71
,,,WILLIAMS LEON T K,24,,,,,,,,,,1,25
,,SOCIOL  1 Total,,396,182,89,45,65,,,1,3,,124,905
,,SOCIOL  2,MONTES AN,22,7,1,1,1,,,,,,1,33
,,,SCAIFE M L,7,18,10,3,2,,,,,,5,45
,,SOCIOL  2 Total,,29,25,11,4,3,,,,,,6,78
,,SOCIOL  4,WILLIAMS LEON T K,37,22,7,,4,,,,,,9,79
,,SOCIOL  4 Total,,37,22,7,,4,,,,,,9,79
,,SOCIOL 12,MONTES AN,16,11,9,2,3,,,,,,2,43
,,SOCIOL 12 Total,,16,11,9,2,3,,,,,,2,43
,,SOCIOL 31,ROMO R,26,9,2,1,2,,,,,,4,44
,,SOCIOL 31 Total,,26,9,2,1,2,,,,,,4,44
,,SOCIOL 33,LIVINGS G S,14,10,5,1,4,,,2,,,15,51
