"","","","","","","","","","","","","",""
"",POSNER L,10,5,7,1,7,,,,,,5,35
FRENCH  1 Total,,49,30,14,3,17,,,1,1,,29,144
FRENCH  2,APARICIO M A,1,4,7,3,1,,,,2,,7,25
"",CHEVANT-AKSOY A,17,6,6,2,3,,,,,,3,37
FRENCH  2 Total,,18,10,13,5,4,,,,2,,10,62
FRENCH  3,APARICIO M A,2,12,4,2,,,,1,1,,8,30
FRENCH  3 Total,,2,12,4,2,,,,1,1,,8,30
FRENCH  8,APARICIO M A,4,5,2,,,,,,2,,7,20
FRENCH  8 Total,,4,5,2,,,,,,2,,7,20
GERMAN  1,LASHGARI RENSEL M,7,3,5,2,1,,,,,,10,28
"",TANAKA D J,8,6,3,1,1,,,,,,7,26
GERMAN  1 Total,,15,9,8,3,2,,,,,,17,54
GERMAN  2,GERL A,6,4,2,1,1,,,,1,,4,19
GERMAN  2 Total,,6,4,2,1,1,,,,1,,4,19
HEBREW  1,ARIELI-CHAI H,7,2,3,,,,,,,,4,16
"",ZWANG-WEISSMAN,12,2,1,2,,,1,,,,7,25
HEBREW  1 Total,,19,4,4,2,,,1,,,,11,41
HEBREW  2,MARGOLIS F S,14,,4,1,1,,,,1,,,21
ITAL    1,KEMITCH F A,8,4,2,,1,,,,,,9,24
"",LORENZI P,9,1,6,1,3,,,,,,13,33
"",WEISBERG A N,3,6,2,,5,,,,,,3,19
ITAL    1 Total,,20,11,10,1,9,,,,,,25,76
ITAL    2,TROMBETTA G N,13,3,,1,,,,,1,,7,25
ITAL    2 Total,,13,3,,1,,,,,1,,7,25
JAPAN   1,COMRIE A K,12,7,4,1,,,,,,,9,33
"",HASHIMOTO Y,19,3,1,1,7,,,,,,3,34
"",JOHNSTON S K,13,6,1,1,6,,,,1,,8,36
"",KROUPA R A,13,4,4,2,6,,,,,,4,33
"",SHIMURA M,10,5,4,,5,,,,,,9,33
"",TSUBOI Y,31,16,6,2,5,,,1,1,,8,70
JAPAN   1 Total,,98,41,20,7,29,,,1,2,,41,239
JAPAN   2,KATO N K,9,8,,,2,,,,,,,19
"",KITAZONO Y,14,6,5,1,1,,,,,,5,32
"",KONNO M K,11,6,5,2,3,,,,,,5,32
JAPAN   2 Total,,34,20,10,3,6,,,,,,10,83
JAPAN   3,TAKEMORI K,6,,,2,6,,,,,,2,16
"",TSUBOI Y,24,3,2,,2,,,,,,4,35
JAPAN   3 Total,,30,3,2,2,8,,,,,,6,51
JAPAN   8,MINEKAWA Y,5,3,1,1,1,,,,1,,2,14
JAPAN   8 Total,,5,3,1,1,1,,,,1,,2,14
JAPAN   9,MINEKAWA Y,34,4,2,,1,,,,,,3,44
JAPAN   9 Total,,34,4,2,,1,,,,,,3,44
KOREAN  1,CHA J,36,5,11,,2,,,,,,8,62
"",LEE J M,10,6,3,5,5,,,,,,8,37
KOREAN  1 Total,,46,11,14,5,7,,,,,,16,99
KOREAN  2,LEE J M,13,3,1,,1,,,,1,,2,21
"",PARK JI,15,8,3,2,,,,,,,6,34
KOREAN  2 Total,,28,11,4,2,1,,,,1,,8,55
KOREAN  3,CHA J,27,7,1,1,,,,,,,6,42
KOREAN  3 Total,,27,7,1,1,,,,,,,6,42
KOREAN 25,CHA J,6,,,,2,,,1,,,1,10
KOREAN 99,LEE J M,1,,,,,,,,,,3,4
KOREAN 99 Total,,1,,,,,,,,,,3,4
LING    1,AL RIFAE K,8,8,4,1,4,,,,,,4,29
"",HARCLERODE J E,73,7,2,1,7,,,,,,10,100
"",MELENDEZ-BALLES N,22,7,2,,6,,,,,,3,40
LING    1 Total,,103,22,8,2,17,,,,,,17,169
PERSIN  1,POURZANGI B,13,2,1,3,4,,,,,,8,31
PERSIN  1 Total,,13,2,1,3,4,,,,,,8,31
PORTGS  1,WILLIAMS AM L,8,3,4,2,4,,,1,,,4,26
PORTGS  1 Total,,8,3,4,2,4,,,1,,,4,26
RUSS    1,BAUCKUS S J,14,6,,,3,,2,,1,,12,38
RUSS    1 Total,,14,6,,,3,,2,,1,,12,38
SPAN    1,CANDELARIA C,6,9,2,2,2,,,,,,9,30
"",ERICKSON M P,18,16,14,5,8,,,,,,17,78
"",MIZUKI A H,6,3,1,1,6,,,,1,,6,24
"",QUINONES H C,8,6,3,,,,,,,,8,25
"",ZARATE S,6,2,2,1,2,,,,,,4,17
SPAN    1 Total,,44,36,22,9,18,,,,1,,44,174
SPAN    2,AREVALO L H,3,8,5,,1,,,,,,8,25
"",BUZATU A,6,3,4,,1,,,,1,,5,20
"",NDOLEY M N,6,7,4,,3,,,,,,5,25
"",SCHAFFER S C,8,4,8,2,2,,,,,,6,30
SPAN    2 Total,,23,22,21,2,7,,,,1,,24,100
SPAN    3,LEE CHAN A,9,8,5,1,1,,1,,,,4,29
SPAN    3 Total,,9,8,5,1,1,,1,,,,4,29
SPAN    4,LEE CHAN A,10,8,5,1,,,1,,,,6,31
SPAN    4 Total,,10,8,5,1,,,1,,,,6,31
SPAN    8,AREVALO L H,12,1,,,2,,,,,,4,19
SPAN    8 Total,,12,1,,,2,,,,,,4,19
SPAN   11,AREVALO L H,7,6,4,1,3,,,1,,,12,34
"",LEE CHAN A,,15,9,3,2,,,,,,5,34
SPAN   11 Total,,7,21,13,4,5,,,1,,,17,68
SPAN   20,AREVALO L H,5,7,3,,2,,1,,,,2,20
SPAN   25,MELENDEZ-BALLES N,4,2,,,1,,,,,,,7
SPAN   25 Total,,4,2,,,1,,,,,,,7
SPAN   31A,MIZUKI A H,4,1,2,,5,,,,2,,12,26
"",ZARATE S,4,1,2,1,2,,,,,,7,17
SPAN   31A Total,,8,2,4,1,7,,,,2,,19,43
SPAN   88B,ERICKSON M P,1,,,,,,,,,,,1
SPAN   88B Total,,1,,,,,,,,,,,1
"",,829,367,222,72,176,,6,8,18,,419,2117
MUSIC   1,CHEESMAN J M,37,7,2,1,6,,,,,,7,60
"",DRISCOLL B S,18,7,7,5,,,1,,1,,22,61
"",SELVEY J D,7,5,1,2,5,,,,,,12,32
"",ZUSMAN S P,20,13,7,3,8,,,,,,23,74
MUSIC   1 Total,,82,32,17,11,19,,1,,1,,64,227
MUSIC   2,DRISCOLL B S,5,2,4,1,3,,,,,,8,23
"",SELVEY J D,5,2,2,2,2,,,,,,7,20
MUSIC   2 Total,,10,4,6,3,5,,,,,,15,43
MUSIC   3,GOODMAN D B,5,10,5,,1,,,,,,,21
MUSIC   3 Total,,5,10,5,,1,,,,,,,21
MUSIC   4,GOODMAN D B,4,11,2,,,,,,,,1,18
MUSIC   4 Total,,4,11,2,,,,,,,,1,18
MUSIC   6,DRISCOLL B S,6,5,3,,2,,,,,,8,24
"",TAKESUE S A,2,3,6,,,,,,,,8,19
MUSIC   6 Total,,8,8,9,,2,,,,,,16,43
MUSIC   7,GOODMAN D B,10,8,2,,1,,,,,,,21
MUSIC   7 Total,,10,8,2,,1,,,,,,,21
MUSIC   8,GOODMAN D B,3,10,3,,1,,,,,,1,18
MUSIC   8 Total,,3,10,3,,1,,,,,,1,18
MUSIC  30,BERGMAN J F,11,7,5,,5,,1,,,,10,39
MUSIC  30 Total,,11,7,5,,5,,1,,,,10,39
MUSIC  32,ALVISO J R,6,3,2,3,,,,,1,,6,21
"",BERGMAN J F,52,17,2,1,7,,10,,,,19,108
"",DRISCOLL B S,5,6,1,1,1,,,,,,12,26
"",GOODMAN D B,10,5,5,,3,,,,,,6,29
MUSIC  32 Total,,89,45,21,8,21,,10,,1,,50,245
MUSIC  33,FIDDMONT F K,100,26,5,1,6,,,,,,12,150
"",ONEAL K A,121,7,3,3,7,,,,,,2,143
"",TERRY L,32,24,16,7,10,,1,,,,11,101
MUSIC  33 Total,,253,57,24,11,23,,1,,,,25,394
MUSIC  36,CHEESMAN J M,20,10,4,,3,,,,,,1,38
"",PARNELL D J,29,,,,,,1,,,,1,31
MUSIC  36 Total,,49,10,4,,3,,1,,,,2,69
MUSIC  37,ALVISO J R,16,8,4,4,2,,,,1,,9,44
MUSIC  37 Total,,16,8,4,4,2,,,,1,,9,44
MUSIC  40,DE STEFANO J D,18,,,,,,,,,,1,19
MUSIC  40 Total,,18,,,,,,,,,,1,19
MUSIC  45,GRAY G L,4,,,,,,,,,,,4
MUSIC  45 Total,,4,,,,,,,,,,,4
MUSIC  50A,DE STEFANO J D,13,,1,1,,,2,,,,4,21
"",OLIVER G A,7,4,1,,2,,,,,,6,20
"",PARNELL D J,15,1,,,,,1,,,,5,22
"",SELVEY J D,13,2,1,,2,,,,1,,7,26
MUSIC  50A Total,,48,7,3,1,4,,3,,1,,22,89
MUSIC  50B,DE STEFANO J D,16,,,,1,,1,,,,4,22
"",PARNELL D J,15,,,,1,,,,,,8,24
MUSIC  50B Total,,31,,,,2,,1,,,,12,46
MUSIC  53,PREPONIS A,22,,,,,,,,,,5,27
"",SORENSEN K E,20,,,,,,,,,,,20
MUSIC  53 Total,,42,,,,,,,,,,5,47
MUSIC  55,SELVEY J D,13,,1,1,,,,,,,5,20
MUSIC  55 Total,,13,,1,1,,,,,,,5,20
MUSIC  57,DE STEFANO J D,15,1,,,,,,,,,9,25
MUSIC  57 Total,,15,1,,,,,,,,,9,25
MUSIC  59,SELVEY J D,14,1,,,,,1,,,,3,19
MUSIC  59 Total,,14,1,,,,,1,,,,3,19
MUSIC  60A,CHOU L,43,9,4,3,3,,,,,,8,70
"",KOZLOVA YU V,12,5,3,1,3,,,,,,10,34
"",STERLING J,8,1,,2,,,,,,,3,14
MUSIC  60A Total,,76,16,7,6,6,,,,,,26,137
MUSIC  60B,CHOU L,30,7,,2,1,,1,,,,4,45
"",GLIADKOVSKAYA E,8,4,2,,,,,,,,5,19
MUSIC  60B Total,,38,11,2,2,1,,1,,,,9,64
MUSIC  60C,CHOU L,8,1,1,,,,,,,,1,11
"",GLIADKOVSKAYA E,8,1,,,,,,,,,1,10
MUSIC  60C Total,,16,2,1,,,,,,,,2,21
MUSIC  60D,GLIADKOVSKAYA E,9,,,,,,,,,,4,13
"",KIM J,5,1,,,1,,,,,,1,8
MUSIC  60D Total,,14,1,,,1,,,,,,5,21
MUSIC  61B,KIM J,4,2,,,,,,,,,1,7
MUSIC  61B Total,,4,2,,,,,,,,,1,7
MUSIC  63,KIM J,9,4,,,,,,,,,4,17
MUSIC  63 Total,,9,4,,,,,,,,,4,17
MUSIC  64,KOZLOVA YU V,17,3,,,,,,,,,,20
MUSIC  64 Total,,17,3,,,,,,,,,,20
MUSIC  65A,AGUIAR J A,12,,1,,,,,,,,2,15
MUSIC  65A Total,,12,,1,,,,,,,,2,15
MUSIC  66,TAKESUE S A,9,1,1,1,2,,,,,,2,16
MUSIC  66 Total,,9,1,1,1,2,,,,,,2,16
MUSIC  70A,SANDERSON A,9,1,,,2,,,,,,4,16
MUSIC  70A Total,,9,1,,,2,,,,,,4,16
MUSIC  70B,SANDERSON A,2,1,,,,,,,,,,3
MUSIC  70B Total,,2,1,,,,,,,,,,3
MUSIC  73A,SMITH ME M,5,2,,1,,,2,,,,2,12
MUSIC  73A Total,,5,2,,1,,,2,,,,2,12
MUSIC  73B,SMITH ME M,6,,,,,,,,,,,6
MUSIC  73B Total,,6,,,,,,,,,,,6
MUSIC  74,SANDERSON A,19,1,,,,,1,,1,,1,23
MUSIC  74 Total,,19,1,,,,,1,,1,,1,23
MUSIC  77,MC KEOWN K O,20,,,,,,,,,,,20
MUSIC  77 Total,,20,,,,,,,,,,,20
"",WHALEY T L,,,,,,,,,,24,,24
MUSIC  78 Total,,15,1,,,,,,,,24,2,42
MUSIC  79A,FIDDMONT F K,8,3,,,,,1,,,,4,16
MUSIC  79A Total,,8,3,,,,,1,,,,4,16
MUSIC  84A,CHEESMAN J M,12,2,3,1,1,,,,,,5,24
"",HARMON J M,23,8,,,,,,,,,8,39
MUSIC  84A Total,,35,10,3,1,1,,,,,,13,63
MUSIC  84B,CHEESMAN J M,12,1,1,,,,,,,,4,18
MUSIC  84B Total,,12,1,1,,,,,,,,4,18
MUSIC  84C,HARMON J M,13,2,,,,,,,1,,1,17
MUSIC  84C Total,,13,2,,,,,,,1,,1,17
MUSIC  87A,CHEESMAN J M,8,,,,1,,,,,,6,15
MUSIC  87A Total,,8,,,,1,,,,,,6,15
MUSIC  87B,CHEESMAN J M,5,,1,,,,,,,,1,7
MUSIC  87B Total,,5,,1,,,,,,,,1,7
MUSIC  88A,KOZLOVA YU V,5,,,,,,,,,,,5
MUSIC  88A Total,,5,,,,,,,,,,,5
MUSIC  88B,KOZLOVA YU V,3,1,,,,,,,,,,4
MUSIC  88B Total,,3,1,,,,,,,,,,4
MUSIC  92,DRISCOLL B S,21,2,,,,,,,,,2,25
MUSIC  92 Total,,21,2,,,,,,,,,2,25
MUSIC  94,DRISCOLL B S,17,4,2,,,,,,,,2,25
MUSIC  94 Total,,17,4,2,,,,,,,,2,25
"",,1123,288,125,50,103,,24,,6,24,343,2086
ECON    1,ABDEL-RAHMAN A A,13,10,17,2,17,,,,,,9,68
"",BROWN B C,41,26,18,6,12,,,,,,25,128
"",CARTER T D,25,8,17,4,15,,4,,,,3,76
"",CHAN A K-C,12,15,22,21,23,,,,,,19,112
"",GARCIA C P,51,19,20,8,51,,,,,,25,174
"",GURTOVOY J,10,4,3,2,11,,,,,,11,41
"",KESKINEL M,68,8,1,,1,,2,,,,6,86
"",MARSCHALL B A,43,15,8,2,1,,,,,,4,73
"",URRUTIA A Q,71,48,23,7,26,,,,,,37,212
ECON    2,ABDEL-RAHMAN A A,10,4,6,,,,,,,,7,27
"",BATTISTA C,30,55,32,8,27,,1,,,,34,187
"",CARTER T D,25,7,9,1,12,,4,,,,10,68
"",CHAN A K-C,28,21,25,15,29,,,,,,16,134
"",GARCIA C P,64,13,10,7,19,,,,,,8,121
"",GURTOVOY J,22,9,7,,13,,,,,,10,61
"",KESKINEL M,35,4,,,1,,1,,,,3,44
"",MARSCHALL B A,23,8,2,1,2,,,,,,,36
"",SU B C,76,24,10,1,2,,,,3,,10,126
ECON    2 Total,,313,145,101,33,105,,6,,3,,98,804
ECON    5,RABACH E R,19,15,7,4,3,,,,,,9,57
ECON    5 Total,,19,15,7,4,3,,,,,,9,57
ECON    6,BATTISTA C,12,11,1,,3,,,,1,,14,42
ECON    6 Total,,12,11,1,,3,,,,1,,14,42
ECON   15,RABACH E R,20,14,16,10,3,,,,,,29,92
ECON   15 Total,,20,14,16,10,3,,,,,,29,92
ECON   88A,SCHULTZ C K,2,,,,,,,,,,,2
ECON   88A Total,,2,,,,,,,,,,,2
ECON   88B,SCHULTZ C K,2,,,,,,,,,,,2
ECON   88B Total,,2,,,,,,,,,,,2
ENVRN  20,HUFFAKER P,11,3,1,,3,,,,,,4,22
"",LOVETTE C G,7,5,4,,1,,,1,,,1,19
ENVRN  20 Total,,18,8,5,,4,,,1,,,5,41
GLOBAL  5,RABACH E R,17,8,3,3,,,,2,,,7,40
GLOBAL  5 Total,,17,8,3,3,,,,2,,,7,40
GLOBAL 10,MONTEIRO N,8,10,5,,8,,,,,,12,43
GLOBAL 10 Total,,8,10,5,,8,,,,,,12,43
HIST   15,RABACH E R,12,8,6,7,3,,1,,1,,21,59
HIST   15 Total,,12,8,6,7,3,,1,,1,,21,59
PHILOS  1,BENNET S E,40,33,6,1,2,,,,,,5,87
"",HUFFAKER P,27,12,7,,5,,,,,,9,60
"",KATHERINE A L,52,47,26,7,7,,,,1,,40,180
"",KAUFMAN S M,19,3,3,1,6,,,,,,10,42
"",QUESADA D M,29,4,3,,9,,,,,,3,48
PHILOS  1 Total,,194,116,52,9,34,,,,1,,83,489
PHILOS  2,KLUMPE P A,80,21,5,1,5,,1,,1,,12,126
PHILOS  2 Total,,80,21,5,1,5,,1,,1,,12,126
PHILOS  3,MOHSEN A M,78,14,4,1,1,,3,,1,,9,111
PHILOS  3 Total,,78,14,4,1,1,,3,,1,,9,111
PHILOS  4,LOVETTE C G,13,18,4,3,1,,,,,,5,44
PHILOS  4 Total,,13,18,4,3,1,,,,,,5,44
PHILOS  5,KLUMPE P A,73,11,5,,2,,,,,,6,97
PHILOS  5 Total,,73,11,5,,2,,,,,,6,97
PHILOS  7,JOHNSON T,33,4,3,,5,,,,,,5,50
"",KATHERINE A L,31,12,13,2,3,,1,,,,21,83
"",ORTEGA G R,13,12,5,2,1,,,,,,11,44
PHILOS  7 Total,,77,28,21,4,9,,1,,,,37,177
PHILOS  9,KAUFMAN S M,15,6,3,1,5,,,,1,,12,43
PHILOS  9 Total,,15,6,3,1,5,,,,1,,12,43
PHILOS 11,MOHSEN A M,54,4,3,,13,,,,,,17,91
PHILOS 11 Total,,54,4,3,,13,,,,,,17,91
PHILOS 20,HUFFAKER P,9,5,,,2,,,,,,4,20
"",LOVETTE C G,6,10,,,2,,,,,,1,19
PHILOS 20 Total,,15,15,,,4,,,,,,5,39
PHILOS 22,QUESADA D M,75,16,11,4,6,,1,,3,,9,125
PHILOS 22 Total,,75,16,11,4,6,,1,,3,,9,125
PHILOS 23,BENNET S E,39,3,,,,,,,,,,42
"",JOHNSON T,27,1,4,3,6,,,,,,5,46
PHILOS 23 Total,,66,4,4,3,6,,,,,,5,88
PHILOS 24,KAUFMAN S M,26,7,,,,,,,,,8,41
PHILOS 24 Total,,26,7,,,,,,,,,8,41
PHILOS 48,FALCONER K L,10,6,7,7,2,,,,,,8,40
PHILOS 48 Total,,10,6,7,7,2,,,,,,8,40
PHILOS 51,KURVINK S J,5,2,2,1,2,,,,,,2,14
"",OIFER E R,11,6,3,,1,,,,,,5,26
PHILOS 51 Total,,16,8,5,1,3,,,,,,7,40
PHILOS 52 Total,,6,7,,1,2,,,,,,3,19
POL SC  1,ANTOINE E R,24,30,12,1,10,,,,,,10,87
"",BUCKLEY A D,16,36,24,1,7,,,,,,29,113
"",GORGIE F J,35,36,6,5,6,,,,3,,8,99
"",GROPER R P,15,30,30,6,23,,,,,,19,123
"",KURVINK S J,10,19,13,1,1,,1,,,,1,46
"",SCHULTZ C K,36,7,1,1,2,,,,,,3,50
"",SHRODE R J,10,7,5,3,3,,,,2,,7,37
"",TAHVILDARANJESS R A,283,99,47,24,29,,2,,,,33,517
"",WOODS V,17,29,34,18,10,,,,,,23,131
POL SC  1 Total,,446,293,172,60,91,,3,,5,,133,1203
POL SC  2,BERMAN DIANNE R,25,17,25,8,15,,,,1,,21,112
"",BUCKLEY A D,12,17,10,1,4,,,,,,22,66
"",GABLER C L,44,23,9,2,11,,,,,,9,98
POL SC  2 Total,,81,57,44,11,30,,,,1,,52,276
POL SC  5,RABACH E R,21,9,10,2,3,,,,,,11,56
POL SC  5 Total,,21,9,10,2,3,,,,,,11,56
POL SC  7,BERMAN DIANNE R,25,30,22,3,14,,,,,,14,108
"",BUCKLEY A D,36,18,6,1,4,,,,,,7,72
POL SC  7 Total,,61,48,28,4,18,,,,,,21,180
POL SC 21,RIVAS PINEDA Y G,7,15,6,1,4,,,2,,,8,43
POL SC 21 Total,,7,15,6,1,4,,,2,,,8,43
POL SC 24,GABLER C L,23,5,4,3,3,,,,,,3,41
POL SC 24 Total,,23,5,4,3,3,,,,,,3,41
POL SC 31,DAVIS SH L,10,9,2,,5,,1,,,,9,36
"",GABLER C L,33,14,2,2,10,,,,,,15,76
POL SC 31 Total,,43,23,4,2,15,,1,,,,24,112
POL SC 51,KURVINK S J,8,8,1,,3,,,,,,2,22
"",OIFER E R,36,14,9,3,1,,,,,,13,76
POL SC 51 Total,,44,22,10,3,4,,,,,,15,98
POL SC 52,KURVINK S J,12,4,,,,,,,,,3,19
POL SC 52 Total,,12,4,,,,,,,,,3,19
POL SC 88B Total,,2,,,,,,,,,,,2
POL SC 95,TAHVILDARANJESS R A,,,,,,,,,24,,3,27
POL SC 95 Total,,,,,,,,,,24,,3,27
SOCIOL  1,CALDERON-ZAKS M A,45,18,8,3,10,,,,1,,9,94
"",D DEL PICCOLO G L,11,13,12,5,3,,,,,,5,49
"",DISHMAN W H,28,26,10,5,3,,,,,,26,98
"",GHEYTANCHI E,86,24,5,2,8,,,,1,,2,128
"",KLEIN M C,77,23,5,1,1,,,,,,7,114
"",LIVINGS G S,9,11,22,2,20,,,,,,21,85
"",MASSEY R A,17,18,8,4,2,,,,,,4,53
"",PHILLIPS K M,39,24,5,5,13,,,,,,2,88
"",ROMO R,47,41,18,4,5,,,,,,7,122
"",SCAIFE M L,8,18,17,8,9,,,,1,,22,83
"",WILLIAMS LEON T K,16,7,4,,13,,,,,,4,44
SOCIOL  1 Total,,383,223,114,39,87,,,,3,,109,958
SOCIOL  2,SCAIFE M L,6,16,8,2,5,,,,,,6,43
SOCIOL  2 Total,,6,16,8,2,5,,,,,,6,43
SOCIOL  4,WILLIAMS LEON T K,64,18,2,,1,,,,,,5,90
SOCIOL  4 Total,,64,18,2,,1,,,,,,5,90
SOCIOL 12,MONTES AN,19,12,5,1,,,,,,,2,39
SOCIOL 12 Total,,19,12,5,1,,,,,,,2,39
SOCIOL 30,CALDERON-ZAKS M A,17,9,6,,3,,2,,,,6,43
SOCIOL 30 Total,,17,9,6,,3,,2,,,,6,43
SOCIOL 31,ROMO R,23,10,2,,5,,,,,,2,42
SOCIOL 31 Total,,23,10,2,,5,,,,,,2,42
SOCIOL 33,LIVINGS G S,28,9,8,4,7,,,,,,15,71
SOCIOL 33 Total,,28,9,8,4,7,,,,,,15,71
SOCIOL 34,LIVINGS G S,10,8,6,6,6,,,,,,6,42
"",ROMO R,22,15,2,1,2,,,,,,3,45
SOCIOL 34 Total,,32,23,8,7,8,,,,,,9,87
"",MONTES AN,15,12,3,3,5,,,,,,3,41
"",WESTERBAND Y,103,27,7,1,2,,3,,,,10,153
WOM ST 10 Total,,139,52,10,4,7,,4,,,,20,236
WOM ST 20,SHARIF R A,15,8,2,1,8,,,,,,5,39
WOM ST 20 Total,,15,8,2,1,8,,,,,,5,39
WOM ST 30,WESTERBAND Y,27,8,1,,3,,1,,,,1,41
WOM ST 30 Total,,27,8,1,,3,,1,,,,1,41
WOM ST 88A,SCHULTZ C K,,,,,,,,,,,1,1
WOM ST 88A Total,,,,,,,,,,,1,1,
WOM ST 88B,SCHULTZ C K,,,,,,,,,,,1,1
WOM ST 88B Total,,,,,,,,,,,1,1,
"",,3048,1517,841,288,681,,30,5,45,,1015,7470
FASHN   1,ARDELL J B,11,4,2,,6,,,,,,1,24
"",ARMSTRONG R W,25,5,,1,15,,,,,,11,57
"",IVAS L,36,10,12,,9,,,,,,11,78
"",KOLKO S R,7,3,7,2,1,,,,1,,8,29
FASHN   1 Total,,79,22,21,3,31,,,,1,,31,188
FASHN   2,ARMSTRONG R W,39,8,3,,6,,,,,,8,64
"",LAKE R G,12,2,5,,5,,,,,,3,27
"",SCHOLNICK J G,4,2,2,,1,,,,,,6,15
FASHN   2 Total,,55,12,10,,12,,,,,,17,106
FASHN   3,ALLEN A/COOKE E,18,1,3,,3,,,,,,1,26
"",COOPER S A,8,5,2,,5,,,,,,2,22
"",KHACHMANYAN S,1,4,1,1,5,,1,,,,11,24
"",LEWIS K,,4,3,1,3,,,,,,8,19
"",RAIN B L,2,4,,1,4,,,,,,9,20
FASHN   3 Total,,29,18,9,3,20,,1,,,,31,111
FASHN   5,KOLKO S R,6,7,7,3,2,,,1,,,5,31
"",LOUIS L N,10,5,2,5,4,,,,,,2,28
FASHN   5 Total,,16,12,9,8,6,,,1,,,7,59
FASHN   6A,KHACHMANYAN S,3,6,3,,1,,,,,,8,21
"",RAIN B L,3,6,2,,3,,,,,,6,20
FASHN   6A Total,,6,12,5,,4,,,,,,14,41
FASHN   6B Total,,6,3,1,,3,,,,,,4,17
FASHN   7,LAKE R G,5,10,7,,1,,,,,,,23
FASHN   7 Total,,5,10,7,,1,,,,,,,23
FASHN   8,ARMSTRONG J I,14,13,,,3,,,,,,3,33
"",REINER H G,12,5,2,,3,,,,,,3,25
FASHN   8 Total,,26,18,2,,6,,,,,,6,58
FASHN   9A,ARMSTRONG J I,12,9,6,,9,,,,,,7,43
FASHN   9A Total,,12,9,6,,9,,,,,,7,43
FASHN   9B,REINER H G,7,5,1,,1,,,,,,4,18
FASHN   9B Total,,7,5,1,,1,,,,,,4,18
FASHN  10,ALLEN A,15,,1,,1,,,,,,5,22
FASHN  10 Total,,15,,1,,1,,,,,,5,22
FASHN  13,ARDELL J B,6,10,1,,3,,1,,,,2,23
FASHN  13 Total,,6,10,1,,3,,1,,,,2,23
FASHN  15,IVAS L,23,2,1,1,3,,,,,,1,31
FASHN  15 Total,,23,2,1,1,3,,,,,,1,31
FASHN  16,COOPER S A,7,3,2,,1,,,,,,4,17
FASHN  16 Total,,7,3,2,,1,,,,,,4,17
FASHN  18,ARMSTRONG R W,18,6,,1,2,,,,,,4,31
FASHN  18 Total,,18,6,,1,2,,,,,,4,31
FASHN  19,KOLKO S R,10,7,1,,2,,,,,,3,23
FASHN  19 Total,,10,7,1,,2,,,,,,3,23
FASHN  20,IVAS L,15,5,,,3,,1,,,,4,28
FASHN  20 Total,,15,5,,,3,,1,,,,4,28
FASHN  90A,IVAS L,,,,,,,,,3,,,3
FASHN  90A Total,,,,,,,,,,3,,,3
FASHN  90B,IVAS L,,,,,,,,,3,,,3
FASHN  90B Total,,,,,,,,,,3,,,3
PHOTO   1,BRIGGS T H,33,4,2,,1,,,,,,,40
"",GREGORY C M,19,18,6,3,5,,,,,,13,64
"",MANGUS E P,59,6,2,,8,,1,,,,10,86
"",MOHR C D,14,13,7,,19,,,,,,9,62
"",MYERS A D,53,10,5,,6,,,,,,11,85
"",STEIL R J,13,,,,,,,,,,,13
"",THAWLEY J,13,14,17,4,4,,,,,,20,72
"",WITHERS J J,4,11,1,1,5,,1,,,,10,33
PHOTO   1 Total,,215,80,43,10,58,,2,,,,82,490
PHOTO   2,MCDONALD S D,8,8,2,,2,,,,,,4,24
"",MOULTON S A,9,6,4,2,,,,,,,5,26
"",VALESELLA M D,13,6,7,4,9,,,,,,7,46
PHOTO   2 Total,,30,20,13,6,11,,,,,,16,96
PHOTO   5,ANDERSON DA,12,5,,,1,,,,,,,18
"",MCDONALD S D,6,6,,1,6,,,,,,4,23
"",PATUGAN R Y,2,5,4,,3,,,,,,6,20
PHOTO   5 Total,,20,16,4,1,10,,,,,,10,61
PHOTO  29,LOWE JR L D,17,,,,3,,,,,,4,24
PHOTO  29 Total,,17,,,,3,,,,,,4,24
PHOTO  30,MOHR C D,3,9,2,,3,,,,,,10,27
"",SANSERI J D,6,5,5,,3,,,,,,4,23
PHOTO  30 Total,,9,14,7,,6,,,,,,14,50
PHOTO  31,WITHERS J J,4,8,6,,2,,,,,,8,28
PHOTO  31 Total,,4,8,6,,2,,,,,,8,28
PHOTO  33,SANSERI J D,7,9,5,,1,,,,,,5,27
PHOTO  33 Total,,7,9,5,,1,,,,,,5,27
PHOTO  37,MOULTON S A,3,7,1,1,,,,,,,9,21
PHOTO  37 Total,,3,7,1,1,,,,,,,9,21
PHOTO  39,BURNS S M,2,1,1,,8,,,,,1,4,17
"",WITHERS J J,3,8,5,3,2,,,,,,3,24
PHOTO  39 Total,,5,9,6,3,10,,,,,1,7,41
PHOTO  40,CALZATTI N,7,6,2,,1,,,,1,,5,22
PHOTO  40 Total,,7,6,2,,1,,,,1,,5,22
PHOTO  42,WITHERS J J,2,7,4,1,2,,,,,,6,22
PHOTO  42 Total,,2,7,4,1,2,,,,,,6,22
PHOTO  43,MOHR C D,6,6,,,,,,,,,,12
PHOTO  43 Total,,6,6,,,,,,,,,,12
PHOTO  60,NEX A J,17,12,5,,,,1,,1,,4,40
PHOTO  88A,SANSERI J D,4,,1,,,,1,,,,,6
PHOTO  88A Total,4,,1,,,,1,,,,,6,
PHOTO  90B,WITHERS J J,3,,,,,,,,,,,3
PHOTO  90B Total,3,,,,,,,,,,,3,
